judul                                                                    ,isi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,tanggal                          ,kategori
"VIDEO: Gubernur Jenin Sebut Israel Cegah Pasokan Pangan, Air dan Medis" ,"Gubernur Jenin Kamal Abu Al-Rub menyebut situasi di daerah militer yang ditutup Israel sangat buruk pada Rabu (4/9).
                                                                          Abu Al-Rub menambahkan bahwa tentara Israel mencegah air dan makanan masuk ke keluarga-keluarga yang terjebak di daerah yang terkepung dan keluarga-keluarga tersebut telah dipaksa untuk meninggalkan rumah mereka.
                                                                          Ratusan tentara Israel telah melakukan penggerebekan di seluruh Tepi Barat sejak Rabu lalu (28/8) dalam salah satu aksi terbesar mereka di wilayah tersebut dalam beberapa bulan terakhir, yang menurut Israel bertujuan untuk membasmi militan Hamas yang didukung Iran.
                                                                          Operasi yang kini memasuki hari keenam tersebut telah menyebabkan kerusakan parah pada infrastruktur di kota dan kamp pengungsi yang berdekatan, sebuah kota yang padat penduduknya, dengan beberapa bangunan yang rusak dan banyak jalan yang dilalui buldoser lapis baja yang memburu bom tepi jalan, yang ""menghancurkan ekonomi lokal,"" kata gubernur."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ," Jumat, 06 Sep 2024 01:15 WIB " ,Internasional
"FOTO: Panik Penembakan Massal di Sekolah AS, 4 Tewas"                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Kamis, 05 Sep 2024 23:37 WIB"   ,Internasional
Paus Fransiskus Sebut Perang Masih Terjadi Dipicu Eksploitasi Agama      ,"Paus Fransiskus menyayangkan masih terjadi peperangan dan konflik di dunia ini, yang dipicu oleh eksploitasiagama dan krisis lingkungan.
                                                                          Karenanya, ia mengatakan semua umat beragama wajib bertanggung jawab dengan ancaman tersebut.
                                                                          
                                                                          ""Di dalamnya, kita bertanggung jawab menghadapi krisis serius dan terkadang dramatis yang mengancam masa depan umat manusia, khususnya perang dan konflik, yang sayangnya juga dipicu oleh eksploitasi agama, tetapi juga krisis lingkungan,"" kata Paus dalam pidatonya ketika mengunjungi di Masjid Istiqlal, Jakarta, Kamis (5/9).
                                                                          Paus pun menilai Deklarasi Istiqlal yang berjudul ""Meneguhkan Kerukunan Umat Beragama Untuk Kemanusiaan"" adalah inspirasi yang harus diikuti.
                                                                          Di deklarasi ini, lanjutnya, semua umat beragama harus bertanggung jawab menghadapi pelbagai krisis serius, lantaran menjadi hambatan bagi pertumbuhan dan kehidupan bersama masyarakat.
                                                                          
                                                                          ""Dan menghadapi skenario ini, penting untuk memajukan dan memperkuat nilai-nilai yang sama bagi semua tradisi agama, membantu masyarakat untuk ""mengalahkan budaya kekerasan dan ketidakpedulian dan untuk memajukan rekonsiliasi dan perdamaian,"" kata dia.
                                                                          Di sisi lain, Paus juga menyinggung Indonesia adalah negara besar dengan budaya, suku bangsa, adat istiadat dan keberagaman. Di samping memiliki tambang emas yang kaya, namun ia menegaskan harta yang paling berharga adalah kemauan agar perbedaan tidak menjadi alasan untuk bertikai.
                                                                          ""Perbedaanbisa diselaraskan dalam kerukunan dan rasa saling menghormati. Jangan sia-siakan anugerah ini! Jangan pernah memiskinkan diri kalian dari kekayaan yang besar ini, sebaliknya, kembangkan dan wariskan terutama kepada kaum muda,"" kata dia.
                                                                          
                                                                          
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Kamis, 05 Sep 2024 22:39 WIB " ,Internasional
Pesan Penutup Paus Fransiskus di Misa GBK: Terima Kasih Rakyat RI!       ,"Paus Fransiskusmenyatakan sejumlah pesan saat menutup Misa Suci di Stadion Gelora Bung Karno (GBK), Jakarta, pada Kamis (5/9).
                                                                          Salah satu pesan yang disampaikan sang Bapak Suci adalah ungkapan terima kasih kepada pemerintah dan rakyat Indonesia yang sudah menjamu dirinya dan memfasilitasi perjalanan apostoliknya selama tiga hari sejak Selasa (3/9).
                                                                          
                                                                          ""Terima kasih kepada semuanya, orang Indonesia yang begitu ramah dan khususnya orang tua. Terima kasih kepada Presiden Joko Widodo yang hadir dan rakyat Indonesia,"" ucap Paus Fransiskus.
                                                                          Paus Fransiskus memimpin Misa Suci di GBK yang dihadiri lebih dari 80.000 umat Katolik.
                                                                          Misa Suci ini merupakan bagian dari rangkaian kunjungan apostoliknya di Republik Indonesia (RI) mulai 3-6 September 2024.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Indonesia menjadi negara pertama yang dikunjungi Paus Fransiskus dalam rangkaian kunjungannya di Asia-Pasifik. Ia berikutnya akan melawat ke Papua Nugini, Timor Leste, dan Singapura.
                                                                          Ini merupakan kunjungan Paus ke RI yang pertama dalam 35 tahun setelah kunjungan Paus Yohanes Paulus II pada 1989 silam. Kedatangan Paus Fransiskus pun begitu dinanti-nanti, terutama oleh umat Katolik Indonesia.
                                                                          Sebelum memimpin Misa Suci, Paus lebih dulu berkunjung ke Masjid Istiqlal Jakarta dan kantor Konferensi Waligereja Indonesia (KWI).
                                                                          
                                                                          Di Masjid Istiqlal, Paus menyempatkan mengunjungi Terowongan Silaturahmi yang menghubungkan Masjid Istiqlal dan Gereja Katedral. Dalam pidatonya, ia berharap terowongan itu bisa menjadi tempat berdialog dan berjumpa dengan semangat kerukunan dan persahabatan.
                                                                          Sementara itu di KWI, Paus bertemu dengan penerima manfaat organisasi amal. Pada momen ini, Paus menyampaikan pesan-pesannya kepada para undangan yang kebanyakan warga penyandang disabilitas. Ia mengatakan mereka adalah masyarakat yang berharga dan harta yang harus dirawat oleh gereja dan negara."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ," Kamis, 05 Sep 2024 21:00 WIB " ,Internasional
FOTO: Khidmat 80 Ribu Umat Katolik RI Ikuti Misa Suci Paus Fransiskus    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Kamis, 05 Sep 2024 20:30 WIB"   ,Internasional
Isi Pesan Paus Fransiskus saat Misa Agung di Stadion GBK                 ,"Pemimpin Gereja Katolik dunia sekaligus Kepala Negara Vatikan, Paus Fransiskus,menyampaikan sejumlah pesan menyentuh terhadap para jemaat Misa Suci yang digelar di Stadion GelorBung Karno(GBK), Jakarta, Kamis (5/9).
                                                                          Salah satunya, Paus Fransiskusberpesan agar umat Katolik di Indonesia senantiasa tak pantang menyerah dalam menjalani kehidupan sebaik-baiknya, bahkan jika tak ada apa pun lagi yang dimiliki.
                                                                          
                                                                          ""Santa Teresa dari Kalkuta, yang peringatannya kita rayakan hari ini, yang tanpa lelah peduli pada orang-orang termiskin dan memajukan perdamaian dan dialog, pernah berkata: 'Ketika kita tidak memiliki apa pun untuk diberikan, hendaklah kita memberikan ketiadaan itu. Dan ingatlah, bahkan ketika kamu tidak menuai apa-apa, jangan pernah lelah menabur',"" ujar Paus Fransiskus saat memimpin Misa Suci di Stadion Utama Gelora Bung Karno (GBK), Kamis (5/9).
                                                                          ""Saudara dan saudari, saya juga hendak berkata kepada Anda, kepada bangsa ini, kepada nusantara yang mengagumkan dan beranekaragam ini: janganlah lelah berlayar dan menebarkan jalamu, janganlah lelah bermimpi dan membangun lagi sebuah peradaban perdamaian! Beranilah selalu untuk mengimpikan persaudaraan! Dengan dibimbing oleh sabda Tuhan, saya mendorong Anda semua untuk menaburkan kasih, dengan penuh keyakinan menempuh jalan dialog, terus memperlihatkan kebaikan budi dan hati dengan senyum khas yang membedakan Anda untuk menjadi pembangun persatuan dan perdamaian. Dengan demikian, Anda akan menyebarkan aroma harapan di sekeliling Anda,"" lanjut Paus.
                                                                          Mantan Uskup Agung Buenos Aires tersebut juga menggaungkan pesan yang disampaikan oleh Uskup-Uskup Indonesia untuk terus berjalan bersama untuk kebaikan masyarakat dan gereja.
                                                                          ""Jadilah pembangun harapan, pengharapan Injil, yang tidak mengecewakan melainkan membuka kita menuju sukacita tanpa akhir,"" ujarnya.
                                                                          Paus Fransiskus memimpin Misa Suci di GBK yang dihadiri lebih dari 80.000 umat Katolik.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Misa Suci ini merupakan bagian dari rangkaian kunjungan apostoliknya di Republik Indonesia (RI) mulai 3-6 September 2024.
                                                                          Indonesia menjadi negara pertama yang dikunjungi Paus Fransiskus dalam rangkaian kunjungannya di Asia-Pasifik. Ia berikutnya akan melawat ke Papua Nugini, Timor Leste, dan Singapura.
                                                                          Ini merupakan kunjungan Paus ke RI yang pertama dalam 35 tahun setelah kunjungan Paus Yohanes Paulus II pada 1989 silam. Kedatangan Paus Fransiskus pun begitu dinanti-nanti, terutama oleh umat Katolik Indonesia.
                                                                          Sebelum memimpin Misa Suci, Paus lebih dulu berkunjung ke Masjid Istiqlal Jakarta dan kantor Konferensi Waligereja Indonesia (KWI).
                                                                          
                                                                          Di Masjid Istiqlal, Paus menyempatkan mengunjungi Terowongan Silaturahmi yang menghubungkan Masjid Istiqlal dan Gereja Katedral. Dalam pidatonya, ia berharap terowongan itu bisa menjadi tempat berdialog dan berjumpa dengan semangat kerukunan dan persahabatan.
                                                                          Sementara itu di KWI, Paus bertemu dengan penerima manfaat organisasi amal. Pada momen ini, Paus menyampaikan pesan-pesannya kepada para undangan yang kebanyakan warga penyandang disabilitas. Ia mengatakan mereka adalah masyarakat yang berharga dan harta yang harus dirawat oleh gereja dan negara."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ," Kamis, 05 Sep 2024 20:15 WIB " ,Internasional
"VIDEO: Serangan Israel Hantam Kampus Tempat Pengungsi Gaza, 2 Tewas"    ,"Serangan udara Israel menghantam sebuah kampus yang menampung para pengungsi di Palestina pada Selasa (3/9).
                                                                          Serangan itu menghantam kampus di wilayah Saftawi, Gaza Utara, dan menewaskan setidaknya dua orang.
                                                                          Pasukan Israel menewaskan 33 warga Palestina di seluruh Gaza dalam 24 jam terakhir.
                                                                          Hingga kini, agresi Israel ke Gaza telah menewaskan hampir 41 ribu warga Palestina."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ," Kamis, 05 Sep 2024 20:01 WIB " ,Internasional
Sosok Gondrong 'Mirip Yesus' Curi Perhatian di Misa Paus Fransiskus      ,"Sosok pria dengan rambut gondrong sempat mencuri perhatian di akhir perayaan Misa Suci bersama Paus Fransiskusdi Stadion Utama Gelora Bung Karno (GBK) Kamis (4/9).
                                                                          Jika dilihat dari jubah yang digunakan, pria berambut gondrong itu diduga merupakan bagian dari rohaniawan yang turut diundang dalam Misa Suci ini.
                                                                          
                                                                          Saat sosok tersebut ditampilkan dalam layar video, para umat yang hadir dalam perayaan Misa Suci pun langsung bersorak.
                                                                          Jika dilihat, sosok tersebut bisa dikatakan mirip dengan Yesus Kristus. Bahkan, MC pun sempat bercanda bahwa Yesus turut hadir dalam acara Misa Suci.
                                                                          ""Wow Tuhan Yesus di layar kita,"" kata MC.
                                                                          
                                                                          
                                                                          
                                                                          Pria itu pun sempat tersenyum saat kamera dan layar menyorotnya. Belakangan, diketahui sosok pria itu adalah pastor asal India yang telah mengabdi di gereja di Maumere, Nusa Tenggara Timur (NTT).
                                                                          Misa Suci yang dipimpin Paus Fransiskus berlangsung selama kurang lebih 1,5 jam. Misa yang diikuti oleh puluhan ribu umat Katolik Indonesia ini berlangsung dengan khidmat.
                                                                          Di akhir Misa Suci, Paus pun memberikan doa dan berkat kepada seluruh umat yang hadir.
                                                                          [Gambas:Twitter]
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Kamis, 05 Sep 2024 20:00 WIB " ,Internasional
FOTO: Momen Paus Fransiskus Naik Maung MV3 Pindad Sapa Umat di GBK       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Kamis, 05 Sep 2024 19:45 WIB"   ,Internasional
Misa Suci Paus Fransiskus Doakan Pemerintah RI Perjuangkan Keadilan      ,"Misa Suci yang dipimpin Paus Fransiskusyang diikuti puluhan ribu umat Katolik turut mendoakan pemerintah dan para wakil rakyat di Indonesia.
                                                                          Doa tersebut dibacakan oleh perwakilan umat dengan menggunakan bahasa daerah, yakni bahasa Toraja.
                                                                          
                                                                          Dalam doa itu, umat mendoakan Tuhan memberikan bimbingan kepada pemerintah dan wakil rakyat agar dalam membuat pilihan dan keputusan bisa memperjuangkan kebaikan sejati.
                                                                          Diharapkan, hal ini bisa membela dan mempertahankan kehidupan dan martabat setiap pribadi, memajukan keadilan dan kedamaian.
                                                                          ""Dipatu'tun lako to ma'parenta sia akkele'na to buda: O Puang, ayokai massola nasang, denno upa' anna apa tu nakombongan sia naalan kada rapa' la umpabu'tu sia umpopembua kameloanna to buda; tenmi denno upa' anna tontong kinaa ungkarimmanni katuoan sia angga'na simisa'-misa' tau, untannun katuoanna to buda tu naponnoi kasikaeloan sia kamarampasan,"" kata pembaca doa umat.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Misa Suci yang berlangsung selama kurang lebih 1,5 jam dan diikuti oleh puluhan ribu umat Katolik Indonesia ini berlangsung dengan khidmat.
                                                                          Di akhir Misa Suci, Paus pun memberikan doa dan berkat kepada seluruh umat yang hadir.
                                                                          Puluhan ribu umat Katolik memadati Stadion Utama Gelora Bung Karno(GBK) untuk mengikuti misa agung Paus Fransiskus.
                                                                          
                                                                          Misa Suci ini merupakan bagian dari rangkaian kunjungan apostoliknya di Republik Indonesia (RI) mulai 3-6 September 2024.
                                                                          Indonesia menjadi negara pertama yang dikunjungi Paus Fransiskus dalam rangkaian kunjungannya di Asia-Pasifik. Ia berikutnya akan melawat ke Papua Nugini, Timor Leste, dan Singapura.
                                                                          Ini merupakan kunjungan Paus ke RI yang pertama dalam 35 tahun setelah kunjungan Paus Yohanes Paulus II pada 1989 silam. Kedatangan Paus Fransiskus begitu dinanti-nanti, terutama oleh umat Katolik Indonesia."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ," Kamis, 05 Sep 2024 19:29 WIB " ,Internasional
FOTO: Kunjungan Bersejarah Paus Fransiskus di Masjid Istiqlal            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Kamis, 05 Sep 2024 19:07 WIB"   ,Internasional
Remaja Difabel Bacakan Bacaan Pertama di Misa Suci Paus Fransiskus       ,"Seorang remaja difabel membacakan bacaan pertama di Misa Suci yang dipimpin Pemimpin Gereja Katolik Dunia sekaligus Kepala Negara Vatikan, Paus Fransiskus, di Gelora Bung Karno (GBK), Kamis (5/9).
                                                                          Remaja laki-laki tersebut membacakan Surat Pertama Rasul Paulus kepada Jemaat di Korintus menggunakan teks dengan huruf braille.
                                                                          
                                                                          ""Saudara-saudara, janganlah ada orang yang menipu dirinya sendiri. Jika di antara kalian ada yang menyangka dirinya berhikmat menurut penilaian dunia ini, hendaknya ia menjadi bodoh untuk menjadi berhikmat. Sebab hikmat dunia ini adalah kebodohan bagi Allah. Sebab ada tertulis: 'Allah menangkap orang berhikmat dalam kecerdikannya sendiri.' Dan di tempat lain: 'Tuhan tahu rancangan-rancangan orang berhikmat; sungguh, semuanya sia-sia belaka!' Karena itu, janganlah ada orang yang memegahkan dirinya atas manusia, sebab segala sesuatu adalah milikmu: baik Paulus, Apolos, maupun Kefas, baik dunia, hidup, maupun mati, baik waktu sekarang, maupun yang akan datang. Semua itu milik kalian, tetapi kalian milik Kristus, dan Kristus milik Allah,"" demikian bacaan tersebut.
                                                                          Paus Fransiskus memimpin Misa Suci di GBK yang dihadiri lebih dari 80.000 umat Katolik.
                                                                          Misa Suci ini merupakan bagian dari rangkaian kunjungan apostoliknya di Republik Indonesia (RI) mulai 3-6 September 2024.
                                                                          
                                                                          Indonesia menjadi negara pertama yang dikunjungi Paus Fransiskus dalam rangkaian kunjungannya di Asia-Pasifik. Ia berikutnya akan melawat ke Papua Nugini, Timor Leste, dan Singapura.
                                                                          Ini merupakan kunjungan Paus ke RI yang pertama dalam 35 tahun setelah kunjungan Paus Yohanes Paulus II pada 1989 silam. Kedatangan Paus Fransiskus pun begitu dinanti-nanti, terutama oleh umat Katolik Indonesia.
                                                                          Sebelum memimpin Misa Suci, Paus lebih dulu berkunjung ke Masjid Istiqlal Jakarta dan kantor Konferensi Waligereja Indonesia (KWI).
                                                                          Di Masjid Istiqlal, Paus menyempatkan mengunjungi Terowongan Silaturahmi yang menghubungkan Masjid Istiqlal dan Gereja Katedral. Dalam pidatonya, ia berharap terowongan itu bisa menjadi tempat berdialog dan berjumpa dengan semangat kerukunan dan persahabatan.
                                                                          Sementara itu di KWI, Paus bertemu dengan penerima manfaat organisasi amal. Pada momen ini, Paus menyampaikan pesan-pesannya kepada para undangan yang kebanyakan warga penyandang disabilitas.
                                                                          Ia mengatakan mereka adalah masyarakat yang berharga dan harta yang harus dirawat oleh gereja dan negara.
                                                                          
                                                                          
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Kamis, 05 Sep 2024 18:20 WIB " ,Internasional
Jokowi: Umat Katolik RI Sukacita Misa Suci Bersama Paus Fransiskus       ,"Presiden Joko Widodo(Jokowi) menyebut umat Katolik Indonesia bersukacita hari ini karena bisa menjalankan misa suci bersama Paus Fransiskus.
                                                                          Dia berkata seluruh warga Indonesia bersukacita menyambut kedatangan Paus Fransiskus. Jokowi mengucapkan selamat beribadah bagi umat Katolik.
                                                                          
                                                                          ""Hari ini umat Katolik Indonesia bersukacita karena dapat melakukan misa suci bersama dengan Yang Teramat Mulia Bapak Suci Paus Fransiskus,"" kata Jokowi melalui rekaman video di misa akbar bersama Paus Fransiskus di Stadion Madya Gelora Bung Karno (GBK), Jakarta, Kamis (5/9).
                                                                          Jokowi menyebut umat Katolik di Indonesia adalah bagian penting bangsa. Umat Katolik, ucapnya, berperan menjaga persatuan serta menyebarkan kasih dan toleransi bersama umat agama lainnya.
                                                                          ""Perbedaan adalah kekayaan dan toleransi adalah pupuk bagi persatuan dan perdamaian kita sebagai bangsa,"" kata Jokowi.
                                                                          
                                                                          Sore ini, Paus Fransiskus menghadiri misa akbar di Stadion Madya Gelora Bung Karno. Sekitar 80 ribu umat Katolik ikut serta dalam ibadah tersebut.
                                                                          Jokowi sempat menemui Paus Fransiskus sebelum masuk ke lokasi misa. Mereka sempat berbincang sebentar. Jokowi didampingi Menko Marves Luhut Binsar Pandjaitan, Kapolri Jenderal Listyo Sigit Prabowo, dan Panglima TNI Jenderal Agus Subiyanto.
                                                                          Setelah pertemuan, Jokowi dan anak buahnya pamit. Paus Fransiskus masuk Stadion Madya GBK dan memimpin misa suci.
                                                                          
                                                                          
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Kamis, 05 Sep 2024 17:52 WIB " ,Internasional
"Paus Fransiskus Keliling Stadion GBK, Cium Kening Bocah-Berkati Bayi"   ,"Pemimpin Gereja Katolik Dunia sekaligus Kepala Negara Vatikan, Paus Fransiskus, menyapa puluhan ribu umat Katolik di Stadion Utama Gelora Bung Karno (GBK), Kamis (5/9).
                                                                          Dalam momen itu, sang Bapa Suci menyempatkan waktu mencium kening seorang anak dan memberkati seorang bayi.
                                                                          
                                                                          Paus Fransiskus mulanya berkeliling stadion menggunakan mobil Maung MV3 Pindad menjelang Misa Suci yang akan dihelat pukul 17.00 WIB.
                                                                          Namun, ia beberapa kali menghentikan laju kendaraan lapis baja untuk menyalami jemaat bahkan memberkati seorang bayi.
                                                                          Bayi tersebut digendong para pengawal sebelum diserahkan ke Paus untuk diberkati.
                                                                          
                                                                          Paus Fransiskus akan memimpin Misa Suci di GBK yang dihadiri lebih dari 80.000 umat Katolik.
                                                                          Misa Suci ini merupakan bagian dari rangkaian kunjungan apostoliknya di Republik Indonesia (RI) mulai 3-6 September 2024.
                                                                          Indonesia menjadi negara pertama yang dikunjungi Paus Fransiskus dalam rangkaian kunjungannya di Asia-Pasifik. Ia berikutnya akan melawat ke Papua Nugini, Timor Leste, dan Singapura.
                                                                          
                                                                          Ini merupakan kunjungan Paus ke RI yang pertama dalam 35 tahun setelah kunjungan Paus Yohanes Paulus II pada 1989 silam. Kedatangan Paus Fransiskus pun begitu dinanti-nanti, terutama oleh umat Katolik Indonesia.
                                                                          Pada hari ini, Paus juga berkunjung ke Masjid Istiqlal Jakarta dan kantor Konferensi Waligereja Indonesia."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ," Kamis, 05 Sep 2024 17:25 WIB " ,Internasional
Pengurus Istiqlal Jelaskan Paus Fransiskus Tak Masuk ke Dalam Masjid     ,"Wakil Kepala Bidang Penyelenggara Peribadatan Masjid Istiqlal Abu Hurairah Abdul Salam mengatakan salah satu alasan Paus Fransiskustak masuk hingga ke bagian dalam Masjid Istiqlal ketika berkunjung karena mempertimbangkan efisiensi sisi waktu.
                                                                          ""Lebih efisien dari segi waktu kalau pertemuan di tenda halaman masjid,"" kata Abu kepada CNNIndonesia.com, Kamis (5/9).
                                                                          
                                                                          Tak hanya itu, Abu mengatakan kondisi Paus Fransiskus yang memakai kursi roda akan memudahkan jika acara digelar di halaman masjid.
                                                                          ""Beliau diagendakan melihat terowongan silaturrahim,"" kata Abu.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Paus Fransiskus telah menggelar acara pertemuan dengan tokoh-tokoh lintas agama di Masjid Istiqlal pada kamis pagi tadi. Pada momen itu, Paus menyempatkan mengunjungi Terowongan Silaturahmi yang menghubungkan Masjid Istiqlal dan Gereja Katedral.
                                                                          Dalam pidatonya, Paus berharap terowongan itu bisa menjadi tempat berdialog dan berjumpa dengan semangat kerukunan dan persahabatan.
                                                                          
                                                                          Paus Fransiskus melakukan kunjungan apostolik di Republik Indonesia (RI) mulai dari 3-6 September 2024."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ," Kamis, 05 Sep 2024 17:03 WIB " ,Internasional
VIDEO: Paus Berkati Sejumlah Anak saat Defile Sebelum Misa Akbar         ,"Paus Fransiskus beberapa kali menghentikan laju mobil saat defile di SUGBK, Kamis (5/9).
                                                                          Dia berhenti untuk memberkati beberapa anak kecil yang dibawa mendekat kepada dirinya.
                                                                          Anak-anak itu digendong oleh pasukan pengawal Paus, yaitu Garda Swiss Vatikan.
                                                                          Setelah diberkati dan dicium oleh Paus, anak-anak itu lantas dikembalikan ke orang tua mereka.
                                                                          Paus menggelar defile sebagai rangkaian dari misa akbar yang digelar di SUGBK.
                                                                          Misa ini sekaligus menutup rangkaian kegiatan Paus Fransiskus di Indonesia."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ," Kamis, 05 Sep 2024 16:58 WIB " ,Internasional
VIDEO: Detik-detik Paus Fransiskus Berkati Seorang Ibu Hamil             ,"Paus Fransiskus sempat memberhentikan mobil untuk memberkati seorang ibu hamil yang menunggu kedatangannya ke kawasan Masjid Istiqlal dan Gereja Katedral, Jakarta Pusat, Kamis (5/9).
                                                                          Video memperlihatkan seorang ibu hamil langsung mendekat ke arah mobil Paus Franskisus yang lewat.
                                                                          Mobil pun berhenti dan Paus langsung mengajak ibu hamil itu berbicara sambil mengelus perutnya.
                                                                          Paus Fransiskus bahkan sempat bertanya kapan bayi tersebut akan lahir dan siapa namanya nanti."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ," Kamis, 05 Sep 2024 16:51 WIB " ,Internasional
Paus Fransiskus Sapa Umat dari Dekat Jelang Misa Agung di GBK            ,"Kepala Gereja Katolik seluruh dunia Paus Fransiskus menyalami warga saat berkeliling di Stadion Madya dan Stadion Utama Gelora Bung Karno (GBK), Jakarta Pusat, pada hari ini, Kamis (4/9).
                                                                          Paus Fransiskus tampak menjulurkan tangan dan bersalaman dengan beberapa perempuan yang ingin menyalaminya.
                                                                          
                                                                          Pasukan pengaman sempat meminggirkan warga yang ingin salaman, tetapi Paus tetap berusaha menjangkau mereka.
                                                                          Sembari berkeliling, Paus Fransiskus melambaikan tangannya menyapa para umat tercinta.
                                                                          Paus Fransiskus akan memimpin Misa Suci di GBK pada pukul 17.00 WIB yang dihadiri lebih dari 80.000 umat Katolik.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Misa Suci ini merupakan bagian dari rangkaian kunjungan apostoliknya di Republik Indonesia (RI) mulai 3-6 September 2024.
                                                                          Indonesia menjadi negara pertama yang dikunjungi Paus Fransiskus dalam rangkaian kunjungannya di Asia-Pasifik. Ia berikutnya akan melawat ke Papua Nugini, Timor Leste, dan Singapura.
                                                                          Ini merupakan kunjungan Paus ke RI yang pertama dalam 35 tahun setelah kunjungan Paus Yohanes Paulus II pada 1989 silam. Kedatangan Paus Fransiskus begitu dinanti-nanti, terutama oleh umat Katolik Indonesia."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ," Kamis, 05 Sep 2024 16:51 WIB " ,Internasional
