judul,tanggal,isi,kategori
FOTO: Gunung Berapi Islandia Meletus 7 Kali Usai 'Tertidur' 800 Tahun,"Sabtu, 23 Nov 2024 12:20 WIB","Gunung berapi di Semenanjung Reykjanes Lyings, Islandia barat daya, dilaporkan sudah mengalami erupsi untuk ke-7 kalinya sepanjang 2024.",internasional
5 Rudal Israel Serang Permukiman Penduduk di Pusat Kota Beirut," Sabtu, 23 Nov 2024 11:52 WIB ","Lima rudal Israel menghantam bangunan perumahan di jantung Ibu Kota Lebanon, Beirut, Sabtu (23/11) waktu setempat.
Kantor Berita Nasional (NNA) Lebanon melaporkan bangunan yang hancur akibat serangan Israel itu berada di Jalan Al Mamoun, daerah Basta.
""Beirut, Ibu Kota, terbangun karena pembantaian yang mengerikan, saat pasukan udara musuh, Israel, menghancurkan total bangunan tempat tinggal 8 lantai dengan 5 rudal,"" demikian laporan NNA disitat dari AFP.

Jurnalis AFP di Beirut juga mendengar setidaknya ledakan besar di ibu kota ini.

Serangan itu terjadi usai Israel mengebom pinggiran selatan Beirut sepanjang hari. Imbas gempuran mereka, gedung 11 lantai hancur-lebur dan lima paramedis tewas.
Sejak pertengahan September, Israel menggempur habis-habisan Lebanon. Mereka mengklaim hanya menargetkan infrastruktur milisi Hizbullh.
Pasukan Israel juga menyerang fasilitas sipil seperti kamp pengungsian hingga perumahan warga.

Lalu pada 1 Oktober, Israel meluncurkan invasi ke Lebanon selatan. Mereka mengulangi alasan yang sama: menghancurkan Hizbullah. Namun, lagi-lagi Israel menyerang fasilitas sipil hingga pos pasukan penjaga perdamaian di Lebanon (UNIFIL).
Hingga kini lebih dari 3.500 orang meninggal karena bombardir pasukan Zionis di Lebanon.
Menghadapi gempuran yang nyaris tak pernah surut, Hizbullah tak tinggal diam. Milisi ini menyerang pasukan Israel di perbatasan. Kedua pihak ini pun bertempur sengit. Untuk meredam situasi, saat ini upaya gencatan senjata sedang dilakukan.",internasional
"Serang Ukraina Pakai Rudal Nuklir Oreshnik, Rusia Kirim Pesan ke AS"," Sabtu, 23 Nov 2024 11:50 WIB ","Kremlin mengatakan pada Jumat (22/11) bahwa serangan terhadap Ukraina menggunakan rudal balistik hipersonik yang baru dikembangkan merupakan pesan kepada Barat bahwa Moskow akan menanggapi dengan keras setiap tindakan Barat yang ""ceroboh"" dalam mendukung Ukraina.
Juru bicara Kremlin Dmitry Peskov berbicara sehari setelah Presiden Rusia Vladimir Putin mengatakan Moskow telah menembakkan rudal baru - Oreshnik atau Pohon Hazel - ke fasilitas militer Ukraina sebagai tanggapan atas serangan Kyiv terhadap Rusia dengan rudal buatan Amerika Serikat (AS) dan Inggris minggu ini, untuk pertama kalinya setelah AS memberikan persetujuannya.
""Pesan utamanya adalah bahwa keputusan dan tindakan sembrono negara-negara Barat yang memproduksi rudal, memasoknya ke Ukraina, dan kemudian berpartisipasi dalam serangan di wilayah Rusia tidak dapat dibiarkan tanpa reaksi dari pihak Rusia,"" kata Peskov kepada wartawan, seperti dilansir Reuters.
""Pihak Rusia telah dengan jelas menunjukkan kemampuannya, dan garis besar tindakan pembalasan lebih lanjut jika kekhawatiran kami tidak diperhitungkan telah diuraikan dengan cukup jelas,"" ujarnya.

Moskow menyebut Rusia menganggap penembakan rudal ATACMS dan Storm Shadow oleh Ukraina ke Rusia sebagai bukti keterlibatan langsung AS dan Inggris dalam perang tersebut. Dikatakan bahwa data penargetan satelit dan pemrograman aktual jalur penerbangan rudal harus dilakukan oleh personel militer NATO karena Kyiv sendiri tidak memiliki kemampuan tersebut.
Putin mengatakan Moskow telah menyerang perusahaan rudal dan pertahanan di kota Dnipro, Ukraina, tempat markas perusahaan rudal dan roket antariksa Pivdenmash, yang dikenal sebagai Yuzhmash oleh Rusia.
Kementerian Pertahanan Rusia mengatakan pada Jumat (22/11) bahwa semua hulu ledak rudal telah mengenai target mereka dan memuji apa yang dikatakannya sebagai penggunaan pertama yang berhasil dari rudal balistik hipersonik jarak menengah dengan hulu ledak konvensional dalam pertempuran.
Presiden Ukraina Volodymyr Zelenskiy mengatakan penggunaan rudal baru oleh Rusia merupakan ""eskalasi yang jelas dan parah"" dan telah menyerukan kecaman keras dari seluruh dunia.
Peskov mengatakan Rusia secara teknis tidak berkewajiban untuk memperingatkan Amerika Serikat tentang serangan itu karena rudal yang digunakan adalah rudal jarak menengah, bukan antarbenua, tetapi ia mengatakan Moskow telah memberi tahu AS 30 menit sebelum peluncuran.

Ia mengatakan Putin tetap terbuka untuk berdialog, tetapi pemerintahan Presiden AS Joe Biden yang akan segera lengser ""lebih suka melanjutkan jalur eskalasi"" dan mendesaknya untuk mengindahkan peringatan yang dikeluarkan Putin pada September lalu.
Putin mengatakan saat itu bahwa Barat akan langsung berperang dengan Rusia jika mengizinkan Ukraina menyerang wilayah Rusia dengan rudal jarak jauh buatan Barat, sebuah langkah yang menurutnya akan mengubah sifat dan cakupan konflik dan memaksa Moskow untuk mengambil ""keputusan yang tepat"" berdasarkan ancaman baru tersebut.
Dalam pernyataannya yang disiarkan televisi pada Kamis (21/11), Putin mengatakan bahwa Rusia telah menembakkan rudal barunya setelah Ukraina, dengan persetujuan dari pemerintahan Biden, telah menyerang Rusia dengan enam rudal ATACMS buatan AS pada Selasa (19/11) dan dengan rudal jelajah Storm Shadow Inggris dan HIMARS buatan AS pada Kamis (21/11).
Peskov mengatakan ia berharap AS telah menerima dan memahami pesan Moskow. ""Mengenai keterbukaan untuk berdialog, bahkan dalam pernyataan kemarin presiden menekankan kesiapannya untuk melakukan kontak apa pun - baik dengan tujuan untuk meredakan ketegangan, menghindari eskalasi lebih lanjut, maupun mencapai jalur damai,"" kata Peskov.
""Pernyataan kemarin (dari Putin) sangat komprehensif, jelas, dan logis. Kami tidak ragu bahwa pemerintahan saat ini di Washington memiliki kesempatan untuk membiasakan diri dengan pernyataan ini dan memahaminya.""",internasional
Prabowo Undang Raja Charles III Berkunjung ke Indonesia," Sabtu, 23 Nov 2024 11:40 WIB ","Presiden Prabowo Subianto mengundang Raja Inggris Charles III untuk berkunjung ke Indonesia. Undangan itu Prabowo sampaikan saat melawat ke Inggris dan bertemu Charles di Buckingham Palace, Inggris, pada Kamis (21/11) pagi.
""Presiden juga turut mengundang Raja Charles III untuk kembali berkunjung ke Indonesia,"" demikian pernyataan resmi Presiden Indonesia.
Charles pernah dua kali berkunjung ke Indonesia saat masih menjadi putra mahkota yakni pada 2008 dan 1989.
Pada 1989, Pangeran Charles berkunjung ke RI bersama istrinya Putri Diana. Saat itu, dia bertemu Presiden Soeharto dan sempat menanam pohon di Hutan Wanagama, Gunung Kidul, Yogyakarta.
Kemudian pada 2008, dia kembali mengunjungi RI dan bertemu dengan tokoh-tokoh Muslim.

Dalam pertemuan kali ini, Prabowo dan Charles membahas lingkungan yang menjadi perhatian bersama, termasuk energi transisi, perubahan iklim, dan pembangunan berkelanjutan.
Prabowo menegaskan Indonesia berkomitmen mendukung dan mendorong strategi kerja sama dengan Inggris guna mengakselerasi transformasi menuju energi hijau, mitigasi perubahan iklim, serta pengembangan ekonomi berbasis keberlanjutan.
Di kesempatan itu, Prabowo juga bercerita ke Charles pernah menempuh pendidikan di Inggris.
""Waktu muda saya pernah tinggal di sini, dan sekolah di sini, jadi itu dengan Raja,"" kata Prabowo dalam videonya di kanal YouTube Sekretariat Presiden.


Prabowo sempat mengenyam sekolah menengah atas di The American School di London, Inggris pada tahun 1966 silam.
Selama berkunjung ke Inggris, Presiden RI itu juga bertemu Perdana Menteri Keir Starmer di Downing Street 10, London.
Inggris merupakan negara terakhir yang dikunjungi Prabowo dalam rangkaian tur pertama dia ke luar negeri sebagai presiden.
Sebelum ke Inggris, Prabowo mengunjungi China, Amerika Serikat, menghadiri konferensi tingkat tinggi (KTT) APEC di Peru, serta menghadiri KTT G20 di Brasil.",internasional
Laos Ucapkan Duka atas Meninggalnya 6 Turis Keracunan Miras Oplosan," Sabtu, 23 Nov 2024 11:30 WIB ","Pemerintah Laos menyampaikan ucapan belasungkawa atas kematian enam turis asing di Vang Vieng. Kematian turis diduga karena keracunan miras oplosan yang mengandung metanol.
Ucapan tersebut disampaikan melalui situs Kementerian Luar Negeri Laos.
""Belasungkawa yang sedalam-dalamnya kepada keluarga korban,""tulis pemerintah Laos.
Pemerintah menjanjikan melakukan penyelidikan untuk menemukan penyebab insiden tersebut.


Sebelumnya, sebanyak enam turis meninggal karena dugaan keracunan metanol tempat kumpul para backpacker di Vang Vieng, mereka adalah dua warga negara Denmark, seorang warga negara Amerika, seorang warga negara Inggris, dan dua warga negara Australia.
Kantor Berita Resmi Laos (KPL) mengonfirmasi bahwa dua warga negara Denmark dan seorang warga negara AS meninggal dunia di Vang Vieng pada 13 November 2024.
""Dugaan penyebab kematian diyakini karena konsumsi minuman beralkohol yang tercemar,"" kata KPL.
""Para pejabat sedang dalam proses mengumpulkan informasi rinci, bukti, dan kesaksian saksi dan diharapkan untuk segera merilis pernyataan resmi,"" imbuhnya.

Polisi juga telah menahan manajer dan pemilik hostel tempat para wisatawan tersebut menginap. Namun diketahui tidak ada dakwaan yang diajukan.
Kedua remaja asal Melbourne, Australia itu dikabarkan tengah menikmati perjalanan backpacking tatkala mereka mendadak sakit usai keluar malam di Vang Vieng.
Kota pedesaan yang indah di Laos utara ini memang telah lama menjadi tempat backpacking yang populer.
Selama bertahun-tahun, kota ini terkenal sebagai tujuan utama untuk berpesta, terkenal dengan pesta minuman keras, mudahnya mendapatkan obat-obatan terlarang, dan kegiatan arung jeram yang menyebabkan serangkaian kematian.
",internasional
VIDEO: Detik-detik Rudal Israel Hantam Gedung di Beirut," Sabtu, 23 Nov 2024 11:23 WIB ","Ini adalah detik-detik saat serangan rudal Israel menghantam sebuah gedung di Beirut pada Jumat (22/11).
Warga pun mengabadikan momen saat gedung itu hancur dan memunculkan kepulan asap.
Konflik Israel dan Lebanon memanas sejak agresi ke Jalur Gaza terjadi pada Oktober 2023 lalu.
Hingga Kamis (21/11), jumlah korban tewas akibat serangan Israel ke Lebanon telah mencapai 3.583 orang.
Mayoritas korban tewas terjadi sejak eskalasi konflik meningkat pada September 2024.",internasional
3 Sosok Buronan ICC terkait 'Genosida' Israel di Jalur Gaza Palestina," Sabtu, 23 Nov 2024 11:20 WIB ","Mahkamah Kriminal Internasional (International Criminal Court/ICC) telah merilis surat penangkapan terhadap beberapa orang yang dianggap telah melakukan 'kejahatan perang' di Jalur Gaza Palestina pada Kamis (21/11).
Oleh karena itu, orang-orang tersebut kini menjadi buronan ICC dan bakal ditangkap jika mereka kedapatan berkunjung ke negara-negara anggota mahkamah internasional tersebut. Sebab, negara-negara anggota ICC berhak dan bisa menangkap mereka.

Berikut daftar buronan ICC terkait kasus kejahatan perang dan kejahatan terhadap kemanusiaan di Jalur Gaza berdasarkan keputusan mahkamah internasional tersebut:
Perdana Menteri Israel, Benjamin Netanyahu, merupakan salah satu orang yang kini menjadi buronan ICC. Sebab, PM berusia 75 tahun itu diduga telah melakukan kejahatan perang kepada warga Palestina di jalur Gaza.
Sejak diserang Hama pada 7 Oktober 2023, Netanyahu kian gencar memerintahkan pasukan militer Israel (IDF) untuk melakukan serangan-serangan mematikan ke wilayah Gaza.

Hingga saat ini, tercatat sudah ada 43 ribu lebih korban jiwa imbas serangan-serangan tersebut. Dari jumlah tersebut, sebagian korban terdiri anak-anak.
Baru-baru ini, militer Zionis juga telah melakukan serangan ke sejumlah target yang ada di Gaza. Pada 15 November lalu, misalnya, Israel membombardir sebuah sekolah yang menjadi kamp pengungsi di Gaza hingga menewaskan setidaknya 15 orang.
Berlanjut ke halaman berikutnya >>>

Selain PM Netanyahu, mantan Menteri Pertahanan Israel, Yoav Gallant, juga masuk dalam daftar buronan ICC saat ini. Sebab, sama dengan Netanyahu, ia juga diduga telah membantu Israel melakukan 'kejahatan perang' di jalur Gaza.
Gallant juga menjadi salah orang di balik serangan-serangan bengis yang dilakukan Israel di Gaza. Menurut ICC, ia juga menjadi orang yang ""secara sengaja dan sadar merampas hak-hak penduduk sipil di Gaza.""
Sebab, sejak 8 Oktober 2023 lalu, Gallant kerap memerintahkan militer Israel untuk menyerang ""objek-objek yang sangat diperlukan untuk kelangsungan hidup"" warga Gaza. Beberapa di antaranya, seperti makanan, air, dan obat-obatan dan perlengkapan medis, bahan bakar dan listrik.

Komandan sayap militer Hamas, Mohammed Diab Ibrahim Al-Masri atau Mohammed Deif, juga termasuk daftar buronan ICC. Sebab, ia dinilai telah melakukan 'kejahatan perang' di Israel pada 7 Oktober 2023 lalu.
Saat itu, Deif diduga menjadi dalang serangan Hamas ke Festival Musik Supernova. Serangan itulah yang memantik eskalasi konflik antara Israel dan Palestina yang hingga kini belum menemui titik damai.
Selain Netanyahu, Gallant, dan Deif, mantan pemimpin tertinggi Hamas, Ismail Haniyeh dan Yahya Sinwar sebetulnya juga masuk dalam daftar buronan ICC. Sebab, beberapa waktu lalu, ICC juga telah merilis surat penangkapan untuk kedua orang tersebut.
Namun, surat penangkapan itu kini sudah ditarik oleh ICC karena Haniyeh dan Sinwar sudah dikonfirmasi tewas dalam serangan Israel.",internasional
Beda Keuntungan Negara Partner dan Negara Anggota Tetap BRICS," Sabtu, 23 Nov 2024 10:10 WIB ","Indonesia telah resmi menjadi negara partner atau mitra forum ekonomi Brasil, Rusia, India, China, dan Afrika Selatan (BRICS).
Duta Besar Republik Indonesia untuk Rusia, Jose Antonio Morato Tavares, mengatakan kepada media Rusia TASS bahwa RI telah menerima undangan BRICS untuk menjadi negara partner.
""Ya [kami telah menerima undangan]. Ini adalah perkembangan positif. Sekarang kami sudah menjadi negara partner BRICS,"" kata Jose, seperti dikutip TASS, Rabu (20/11).
Menteri Luar Negeri RI Sugiono sebelumnya telah mengungkapkan bahwa Indonesia sudah mengajukan diri untuk bergabung dengan BRICS.

Juru bicara Kementerian Luar Negeri RI Roy Soemirat menjelaskan Indonesia saat ini telah menjadi interested country (negara yang tertarik).
Masih ada sejumlah kategori keanggotaan yang harus dilalui untuk mendapatkan keanggotaan penuh BRICS. Kategori itu sendiri antara lain interested country (negara yang berminat), prospective BRICS member state (calon negara anggota BRICS), invited BRICS member state (negara anggota BRICS yang telah mendapatkan undangan), dan BRICS member state (anggota tetap BRICS).
Seiring dengan ini, Roy mengatakan tujuan akhir Indonesia yakni menjadi anggota tetap BRICS.

Perbedaan antara negara anggota tetap dan negara partner BRICS terletak pada tingkat keterlibatan, kewenangan pengambilan keputusan, dan kedalaman kolaborasi.
Dilansir dari Focus Malaysia, negara anggota tetap atau penuh memiliki pengaruh besar dalam pengambilan keputusan serta memainkan peran langsung dalam menentukan agenda dan kebijakan BRICS.
Anggota tetap dapat berpartisipasi dalam pertemuan puncak tingkat tinggi, saat di mana keputusan penting mengenai kerja sama ekonomi, tata kelola internasional, dan strategi politik diputuskan.
Anggota penuh juga memiliki pengaruh yang lebih besar terhadap lembaga-lembaga BRICS seperti New Development Bank (NDB) dan Contingent Reserve Arrangement (CRA). Mereka dapat membentuk kebijakan dan proyek yang didanai oleh lembaga-lembaga ini.

Anggota tetap BRICS juga memperoleh manfaat dari perdagangan, investasi, dan kerja sama ekonomi yang lebih dalam dengan anggota lainnya seperti dengan membuat perjanjian perdagangan istimewa atau proyek infrastruktur bersama.
Anggota penuh juga memiliki pengaruh strategis terhadap perumusan kebijakan atas isu-isu global, seperti reformasi keuangan, kebijakan perubahan iklim, dan negosiasi geopolitik.
Lebih lanjut, anggota penuh memiliki keselarasan diplomatik dan politik yang lebih besar sebagai bagian dari proses pengambilan keputusan inti, yang memungkinkan mereka untuk beraliansi dengan negara-negara ekonomi besar dan mengadvokasi reformasi di lembaga-lembaga global seperti misalnya Dana Moneter Internasional atau Perserikatan Bangsa-Bangsa (PBB).
Negara partner atau mitra BRICS sementara itu tidak memiliki hak suara atau pengaruh besar atas keputusan dan kebijakan internal BRICS. Mereka memiliki kewenangan terbatas dalam pengambilan keputusan.

Meski tak punya akses terhadap inisiatif ekonomi dan pembangunan, negara partner tetap bisa mendapatkan manfaat dari kerja sama dalam proyek-proyek tertentu, investasi, serta mendapat akses terhadap sumber daya seperti pendanaan dari NDB untuk proyek infrastruktur dan pembangunan.
Negara mitra bisa terlibat secara fleksibel dalam BRICS tanpa perlu mengemban tanggung jawab maupun kewajiban seperti yang berlaku pada anggota tetap.
Negara-negara partner juga dapat bekerja sama dengan anggota BRICS mengenai isu-isu tertentu seperti perdagangan atau penelitian, namun tidak terikat pada komitmen politik.",internasional
AS Sebut Tentara Korut Kumpul di Rusia untuk Serbu Ukraina," Sabtu, 23 Nov 2024 09:54 WIB ","Kepala Departemen Pertahanan Amerika Serikat atau Pentagon Lloyd Austin memperkirakan ribuan tentara Korea Utara yang telah berkumpul di Rusia bakal segera memasuki medan perang melawan Ukraina.
Menurut Austin, sekitar 10 ribu tentara Korea Utara diyakini sudah berada di wilayah Kursk, Rusia, yang berbatasan dengan Ukraina. Para pasukan tentara Korut itu disebut telah diintegrasikan ke dalam formasi Rusia.

""Berdasarkan apa yang telah mereka latih, cara mereka diintegrasikan ke dalam formasi Rusia, saya sepenuhnya yakin mereka akan segera terlibat dalam pertempuran,"" ujar Austin di Fiji, Sabtu (23/11), melansir AFP.
Ia menambahkan dirinya belum melihat laporan yang signifikan mengenai pasukan Korut yang secara aktif terlibat dalam perang hingga saat ini.
Sebelumnya, pejabat pemerintah Korea Selatan dan sekelompok peneliti mengatakan Rusia telah menyediakan minyak, rudal anti udara dan bantuan ekonomi kepada Pyongyang sebagai imbalan atas pasukan yang dikirimkan oleh Washington dan Seoul.

Kyiv juga telah memperingatkan bahwa Moskow, bersama dengan tentara Korut, kini telah mengumpulkan 50 ribu tentara untuk merebut kembali beberapa bagian wilayah perbatasan yang direbut oleh pasukan Ukraina.
Ukraina merebut sebagian besar wilayah Kursk beberapa bulan lalu dalam sebuah serangan kilat. Hal itu bahkan ketika pasukannya terdesak di wilayah Donetsk, yang telah menanggung beban pertempuran selama hampir tiga tahun.
",internasional
Update Kabinet Trump: Jaksa Agung Wanita hingga Taipan AS Jadi Menkeu," Sabtu, 23 Nov 2024 09:22 WIB ","Presiden terpilih Amerika Serikat Donald Trump mengumumkan nama-nama baru yang akan masuk ke kabinet di pemerintahan dia.
Trump menunjuk jaksa agung baru Pam Bondi usai Matt Gaetz mundur dari posisi yang akan digawangi itu.
""Sudah terlalu lama, Kementerian Kehakiman (DOJ) yang partisan menjadi senjata untuk melawan saya dan anggota Partai Republik lain,"" kata Trump di platform Truth Social, Kamis (21/11) malam waktu setempat
Dia lalu berujar, ""Pam akan mengembalikan fokus DOJ untuk memerangi kejahatan, dan Membuat Amerika Aman Kembali.""

Trump mengaku telah mengenal Bondi sejak lama. Menurut politikus Republik ini calon jaksa agung yang baru ditunjuk merupakan sosok cerdas dan tangguh.
""[Dia] merupakan pejuang pertama Amerika yang akan melakukan pekerjaan hebat sebagai jaksa agung,"" ujar Trump, dikutip CNN.
Sejumlah sumber mengatakan Bondi merupakan salah satu pengacara favorit Trump.
Nama Bondi juga sempat digadang-gadang masuk kabinet sebelum Trump memilih Gaetz pada pekan lalu.
Gaetz mundur dari posisi calon jaksa agung karena diduga tak akan mengantongi persetujuan dari Senat fraksi Republik.
Legislator Demokrat dan beberapa dari Republik meminta laporan investigasi Komite Etik DPR terhadap Gaetz dirilis.
Laporan itu merinci penyelidikan panel soal tuduhan pelecehan seksual dan dugaan kejahatan lain yang dilakukan Gaetz. Namun, eks politikus Republik dari Florida membantah tuduhan tersebut.
Sehari usai menunjuk Bondi, Trump juga merilis nama baru untuk posisi Menteri Keuangan yakni miliarder AS Scott Bessent.
Trump mengatakan Bessent sudah lama menjadi pendukung setia Agenda America First.
""Menjelang HUT ke-250 negara besar kita, dia akan membantu saya mengawali zaman keemasan baru bagi Amerika Serikat, seraya kita memperkuat posisi kita sebagai ekonomi terkemuka di dunia,"" ungkap dia pada Jumat (22/11), dikutip CNN.
Saat memimpin, Trump menegaskan ingin mempertahankan dolar AS sebagai mata uang cadangan dunia, pusat inovasi dan kewirausahaan, hingga tujuan kapital.
Dia juga menyinggung pemerintahan Presiden Joe Biden yang tertinggal secara ekonomi. AS sempat mengalami inflasi tertinggi dalam40 tahun hingga mencapai 9,1 persen pada Juni 2022.
""Kami akan memastikan bahwa tidak ada warga Amerika yang tertinggal dalam ledakan ekonomi terbesar berikutnya, dan Scott akan memimpin upaya itu untuk saya, dan Rakyat Besar Amerika Serikat,"" ujar Trump.

Sebagai tokoh kunci kabinet, Menteri Keuangan AS memberi nasihat ke presiden mengenai masalah ekonomi dan fiskal, termasuk pengeluaran dan pajak.
Posisi tersebut dilihat sebagai jabatan keuangan tertinggi dalam pemerintahan mana pun.
Jika Senat menyetujui Bessent menjadi menteri, pekerjaan dia akan lebih menantang karena menghadapi tekanan untuk memenuhi batas uang federal dan janji kampanye Trump.
Bessent merupakan pendiri dana lindung nilai Key Square Capital Management sekaligus penasihat Trump soal kebijakan ekonomi selama kampanye.
Sebelumnya, Bessent sempat menjabat sebagai kepala investasi di perusahaan yang didirikan donatur besar Demokrat George Soros, Soros Fund Management.
Nama dia menjadi perhatian di perusahaan Soros usai memimpin upaya pertarungan melawan pound Inggris dan yen Jepang yang menghasilkan laba miliar untuk dana lindung ini.
",internasional
6 Turis Tewas Diduga Keracunan Miras Oplosan di Laos," Sabtu, 23 Nov 2024 09:04 WIB ","Sebanyak enam wisatawan asing meninggal dunia usai diduga miras oplosan di Laos.
Melansir CNN, seorang remaja asal Australia bernama Holly Bowles (19) menjadi turis asing keenam yang tewas akibat dugaan keracunan metanol massal di Laos.
Sebelumnya seorang wisatawan wanita asal Inggris, remaja lain asal Australia, remaja asal Amerika Serikat (AS), dan dua wisatawan dari Denmark juga meninggal dalam beberapa hari terakhir usai serentetan dugaan keracunan di tujuan wisata populer, Vang Vieng.
Bowles dikabarkan sempat menjalani perawatan intensif dalam kondisi kritis selama beberapa hari di Thailand usai dievakuasi dari Laos.
Menurut media pemerintah Laos, penyebab kematian turis-turis tersebut diyakini terkait dengan alkohol oplosan.

Pihak pemerintah Laos hingga hari ini masih belum memberikan pernyataan mengenai kematian-kematian para turis tersebut. Hal itu bahkan ketika beberapa pemerintah negara lain mengeluarkan peringatan untuk berhati-hati terhadap alkohol oplosan.
Kantor Berita Resmi Laos (KPL) mengonfirmasi bahwa dua warga negara Denmark dan seorang warga negara AS meninggal dunia di Vang Vieng pada 13 November 2024.
""Dugaan penyebab kematian diyakini karena konsumsi minuman beralkohol yang tercemar,"" kata KPL.
""Para pejabat sedang dalam proses mengumpulkan informasi rinci, bukti, dan kesaksian saksi dan diharapkan untuk segera merilis pernyataan resmi,"" imbuhnya.
Polisi juga telah menahan manajer dan pemilik hostel tempat para wisatawan tersebut menginap. Namun diketahui tidak ada dakwaan yang diajukan.
Kedua remaja asal Melbourne, Australia itu dikabarkan tengah menikmati perjalanan backpacking tatkala mereka mendadak sakit usai keluar malam di Vang Vieng.
Kota pedesaan yang indah di Laos utara ini memang telah lama menjadi tempat backpacking yang populer. Selama bertahun-tahun, kota ini terkenal sebagai tujuan utama untuk berpesta, terkenal dengan pesta minuman keras, mudahnya mendapatkan obat-obatan terlarang, dan kegiatan arung jeram yang menyebabkan serangkaian kematian.

Pada 2012, pemerintah sudah menutup beberapa bar dan kegiatan, mengubah kota ini menjadi pusat wisata alam dan petualangan, meskipun reputasi pestanya tetap ada.
Para remaja wanita tersebut menginap di sebuah hostel dan dilaporkan telah minum-minum di sana dan di sebuah bar terdekat pada tanggal 11 November. Mereka kemudian bergabung dengan tamu-tamu lain untuk menikmati minuman alkohol gratis yang ditawarkan oleh pihak hostel sebelum keluar malam.
Setelah jatuh sakit, keduanya tidak meninggalkan kamar mereka selama 24 jam dan gagal untuk check out sesuai jadwal. Mereka kemudian dibawa ke rumah sakit di Laos sebelum dipindahkan ke Thailand, di mana mereka dirawat di dua rumah sakit berbeda.
Diyakini bahwa para wisatawan wanita asal Melbourne itu meminum alkohol yang tercemar metanol, meskipun sumber minumannya tidak jelas.
Berdasarkan peringatan yang dikeluarkan Kementerian Luar Negeri Inggris, metanol dapat membuat orang merasa mabuk dan telah digunakan dalam pembuatan replika palsu merek alkohol terkenal atau minuman beralkohol lokal ilegal, seperti vodka.
Sementara menurut Pusat Pengendalian dan Pencegahan Penyakit AS, keracunan metanol dapat menyebabkan mual, muntah, dan gagal jantung atau pernapasan. Cairan bening ini biasanya digunakan dalam cairan pembersih, namun terkadang ditambahkan secara ilegal ke dalam minuman beralkohol sebagai cara yang murah untuk meningkatkan volumenya.
Sebagai informasi, Laos, salah satu negara termiskin di Asia Tenggara, telah terpukul oleh inflasi yang meroket dalam beberapa tahun terakhir. Pariwisata adalah sumber pendapatan utama bagi perekonomian negara yang sedang berjuang tersebut.

",internasional
"Daftar Negara Siap Tangkap PM Netanyahu, Ada Italia hingga Belanda"," Sabtu, 23 Nov 2024 07:39 WIB ","Sejumlah negara menyatakan siap menangkap Perdana Menteri Israel Benjamin Netanyahu usai Mahkamah Pidana Internasional (ICC) merilis surat perintah penangkapan untuk dia.
ICC menyebut Netanyahu dan eks Menteri Pertahanan Israel bertanggung jawab atas kejahatan perang di Jalur Gaza.
Dengan surat perintah penangkapan ini, negara anggota ICC wajib mematuhi dan menangkap Netanyahu atau Gallant saat berkunjung.
Berikut daftar negara yang siap tangkap Netanyahu jika dia melawat ke negaranya.
Kanada menegaskan akan menangkap Netanyahu dan Gallant jika mereka menginjakkan kaki di negara tersebut.
Perdana Menteri Justin Trudeau mengatakan Kanada akan mematuhi keputusan ICC.
""Pertama-tama, seperti yang selalu dinyatakan Kanada, sangat penting bagi setiap orang untuk mematuhi hukum internasional. Ini adalah sesuatu yang telah kami serukan sejak awal konflik,"" kata Trudeau ke awak media di Toronto, seperti dikutip Anadolu Agency, Kamis (21/11).
Lebih lanjut, Trudeau mengatakan Kanada merupakan salah satu pendiri ICC. Dengan demikian, kata dia, semua perintah lembaga penegak hukum ini akan dilaksanakan.

Menteri Luar Negeri Yordania, Ayman Safadi, mengatakan semua negara harus menghormati dan melaksanakan keputusan ICC.
Dia menilai keputusan ICC untuk menangkap Netanyahu merupakan bentuk keadilan bagi warga Palestina.
""Palestina berhak mendapatkan keadilan,"" kata Safadi dilansir Al Jazeera.
https://www.aljazeera.com/news/2024/11/21/world-reacts-to-icc-arrest-warrants-for-israels-netanyahu-gallant
Belanda juga menggemakan narasi serupa. Menteri Luar Negeri Caspar Veldkamp mengatakan pemerintah akan menghormati semua keputusan ICC
Belanda, kata dia, juga akan menindaklanjuti surat perintah penangkapan ICC untuk PM Netanyahu.
""Kami tidak akan terlibat dalam kontak yang tidak penting dan kami akan menindaklanjuti surat perintah penangkapan. Kami sepenuhnya mematuhi Statuta Roma ICC,"" ungkap Veldkamp.
Austria memberikan pernyataan yang ambigu. Menteri Luar Negeri Alexander Schallenberg menyebut surat perintah penangkapan untuk Netanyahu menggelikan.
Namun, dia juga menegaskan Austria wajib melaksanakan surat perintah penangkapan ICC.

Italia juga mengonfirmasi akan menangkap Netanyahu atau Gallant jika mereka berkunjung ke negara Eropa ini.
IrlandiaPerdana Menteri Simon Harris mengatakan Irlandia menghormati peran ICC dan memastikan akan menangkap Netanyahu.
""Ya, tentu saja. Kami mendukung pengadilan internasional dan penangkapan mereka,"" kata Harris, dikutip Reuters.
Kantor Kehakiman Federal Swiss menyatakan mereka wajib bekerja sama dengan ICC berdasarkan Statuta Roma.
Oleh karena itu, pihak berwenang Swiss harus menangkap Netanyahu atau Gallant jika mereka memasuki negara ini dan memulai ekstradisi ke pengadilan.
",internasional
