judul,isi,tanggal,kategori
VIDEO: Paus Harap AS Pilih Presiden yang Aura Jahatnya Paling Kecil,Paus Fransiskus berharap sekaligus menyarankan warga AS untuk memilih presiden yang punya aura jahat paling kecil dibandingkan lawannya.," Minggu, 15 Sep 2024 09:28 WIB ",Internasional
Ukraina Klaim Rusia Dapat Pasokan Besar Artileri dari Korea Utara,"Kepala badan intelijen militer Ukraina, Kyrylo Budanov, mengatakan pada Sabtu (14/9) bahwa peningkatan produksi bom berpemandu Rusia serta tambahan pasokan artileri berasal dari Korea Utara.
Budanov memaparkan bantuan militer dari Korea Utara ke Rusia merupakan kekhawatiran terbesar ketimbang dukungan sekutu Rusia lainnya.

""Mereka memasok amunisi artileri dalam jumlah besar, yang sangat penting bagi Rusia,"" kata Budanov, diberitakan Reuters.
Ukraina, Amerika Serikat serta analisis independen sebelumnya sudah mengatakan pemimpin Korea Utara Kim Jong Un membantu Rusia perang melawan Ukraina dengan memasok rudal dan amunisi sebagai imbalan atas bantuan ekonomi dan militer lainnya dari Moskow.
Budanov meyakini peningkatan bom berpemandu Rusia menimbulkan 'masalah besar di garis depan'.Budanov juga menyinggung soal produksi rudal Iskander oleh Rusia yang dikatakan dipakai 'besar-besaran' buat menyerang Ukraina.
Serangan pada tahun ini terhadap infrastruktur penting Ukraina telah menyebabkan kerusakan signifikan pada jaringan listrik negara itu, yang menyebabkan pemadaman listrik. Presiden Ukraina Volodymyr Zelenskiy telah memperbarui permohonan dukungan pertahanan udara dari sekutu Ukraina.

Selain itu Budanov memaparkan prediksi efek dari rencana Rusia yakni krisis perekrutan prajurit pada pertengahan 2026.
""Selama periode ini (musim panas 2025) mereka akan menghadapi dilema: apakah akan menyatakan mobilisasi atau mengurangi intensitas pertempuran, yang pada akhirnya mungkin penting bagi mereka,"" kata Budanov.
Pasukan Ukraina kewalahan selama lebih dari 30 bulan melawan invasi skala penuh Rusia. Ukraina telah berupaya mencegah laju Rusia menuju kota-kota penting di timur negara itu dan telah melakukan serangan ke wilayah Rusia barat, Kursk."," Minggu, 15 Sep 2024 06:00 WIB ",Internasional
Rusia dan Ukraina Saling Tukar 206 Tawanan Perang,"Rusiadan Ukrainamasing-masing menukar 103 tawanan perang pada Sabtu (14/9) dalam kesepakatan yang ditengahi Uni Emirat Arab. Peristiwa terkordinasi seperti ini langka ketika kedua pihak tak menunjukkan tanda-tanda berhenti berperang.
Pihak Rusia menyatakan orang-orang yang dibebaskan Ukraina itu ditangkap selama serangan Ukraina ke Kursk.

Sementara sebagian tahanan perang yang dibebaskan Rusia sudah ditahan sejak penyitaan pabrik baja Azovstal pada Mei 2022.
""Sebanyak 103 tentara lainnya dikembalikan ke Ukraina dari penahanan Rusia,"" kata Presiden Ukraina Volodymyr Zelensky di Telegram, diberitakan AFP.
Rusia juga sudah mengonfirmasi dan menyatakan telah ""menyerahkan"" 103 tahanan tentara Ukraina dan menerima 103 prajurit Rusia yang ditangkap oleh Kyiv dalam serangan Kursk sebagai balasannya.
""Semua prajurit Rusia berada di wilayah Republik Belarus, di mana mereka diberikan bantuan psikologis dan medis yang diperlukan, serta kesempatan untuk menghubungi kerabat mereka,"" kata Kementerian Pertahanan Rusia.

Saling tukar tahanan ini muncul sehari setelah Zelensky menyatakan 49 tawanan perang Ukraina telah dikembalikan dari Rusia. Tiga pekan lalu kedua pihak juga sudah menukar 115 tahanan masing-masing dalam kesepakatan yang juga dimediasi Uni Emirat Arab.
Kementerian luar negeri Uni Emirat Arab memuji kesepakatan itu sebagai ""keberhasilan"" dan berterima kasih kepada kedua belah pihak atas kerja sama mereka pada Sabtu.
"," Minggu, 15 Sep 2024 05:30 WIB ",Internasional
"Israel Hantam Rumah Pengungsi di Gaza, 11 Orang Tewas","Badan Pertahanan Sipil Gaza mengatakan pada Sabtu (14/9) serangan udara Israel telah menghantam rumah di KotaGaza tempat warga Palestina berlindung hingga menewaskan 11 orang.
""Kami telah menemukan jenazah 11 martir, termasuk empat anak-anak dan tiga wanita, setelah pesawat tempur Israel menghantam rumah tiga lantai milik keluarga Bustan,"" kata juru bicara badan tersebut, Mahmud Bassal, kepada AFP.

Bassal menyampaikan rumah yang berada di area Al-Tuggah timur Gaza itu mengalami serangan sekitar pukul 01.00 dini hari waktu setempat.
""Beberapa keluarga berlindung di rumah yang menjadi sasaran satu rudal tanpa peringatan sebelumnya,"" kata Bassal, seraya menambahkan bahwa banyak lainnya terluka.
Bassal mengatakan tim penyelamat terus mencari orang-orang yang masih hilang.
Militer Israel mengatakan pasukannya telah melakukan serangan di daerah itu.
""IDF menyerang komandan sel teroris Hamas di daerah Daraj Tuffah, yang terlibat dalam perencanaan dan pelaksanaan kegiatan teroris terhadap pasukan IDF dan Negara Israel,"" kata militer dalam sebuah pernyataan kepada AFP.

Bassal mengatakan pasukan Israel melakukan serangan serupa di bagian lain wilayah yang dikuasai Hamas semalam, menewaskan sedikitnya 10 orang.
Kata dia sebanyak lima orang tewas di Kota Gaza barat laut ketika serangan udara menghantam sekelompok orang di dekat sekolah Dar Al-Arqam.
Bassal menambahkan, lebih jauh ke selatan, tiga orang lainnya tewas dalam serangan di daerah Al-Mawasi, tempat puluhan ribu warga Palestina yang mengungsi mencari perlindungan.
Perang di Gaza pecah setelah Hamas menyerang Israel pada 7 Oktober 2023 yang mengakibatkan kematian 1.205 orang, sebagian besar warga sipil, menurut penghitungan AFP berdasarkan angka resmi Israel.
Militan Hamas juga menangkap 251 tawanan selama serangan itu, 97 di antaranya masih ditahan di Gaza, termasuk 33 orang yang menurut militer Israel telah tewas.
Kampanye militer balasan Israel di Gaza telah menewaskan sedikitnya 41.182 orang, menurut kementerian kesehatan wilayah yang dikuasai Hamas itu, yang tidak memberikan rincian kematian warga sipil dan militan.
"," Minggu, 15 Sep 2024 02:00 WIB ",Internasional
FOTO: Israel Pamer Terowongan di Gaza yang Diklaim Menuju ke Mesir,Pasukan Israel memamerkan terowongan yang diklaim mereka temukan di Gaza selatan.,"Sabtu, 14 Sep 2024 22:08 WIB",Internasional
"Pejabat Tinggi Keamanan Rusia Datangi Kim Jong Un di Korut, Bahas Apa?","Korea Utara danRusia kembali menyampaikan komitmennya dalam kerja sama keamanan,pada pertemuan antara pemimpin KorutKim Jong Un dengan Sekretaris Dewan Keamanan Rusia Sergei Shoigu.
Media pemerintah Korut KCNA mengatakan pertemuan Kim dengan Shoigu dilakukan di Korut pada Sabtu (14/9) waktu setempat.

KCNA menyebut Kim dan Shoigu melakukan ""pertukaran pandangan yang luas tentang situasi regional dan internasional"". Keduanya juga mencapai kesepakatan dalam berbagai isu, termasuk kerja sama untuk mempertahankan kepentingan keamanan bersama.
Dilansir Reuters, Kim juga menegaskan Korut akan terus memperluas kerja sama dengan Rusia, sesuai dengan kemitraan strategis antara kedua negara.
Sejauh ini Amerika Serikat, Ukraina, dan negara-negara lainnya menduga Kim membantu Rusia dalam melakukan invasi ke Ukraina. Bantuan itu berupa kiriman roket dan rudal, sebagai imbalan atas bantuan ekonomi dan militer dari Moskow.

Moskow dan Pyongyang telah membantah tuduhan itu. Namun kedua negara sepakat meningkatkan kerja sama militer dan menandatangani kemitraan strategis pada pertemuan puncak Juni lalu.
Dalam pertemuan hari ini, Shoigu yang sebelumnya menjabat sebagai menteri pertahanan Rusia juga mengonfirmasi hubungan yang lebih erat antara Korut-Rusia.



Pada kunjungannya Juli 2023 lalu, Shoigu juga turut hadir menyaksikan parade militer Korut yang memamerkan rudal berkemampuan nuklir dan pesawat nirawak.
Dia juga menjadi pejabat tinggi pertahanan Rusia pertama yang mengunjungi Korea Utara sejak pecahnya Uni Soviet pada tahun 1991."," Sabtu, 14 Sep 2024 20:35 WIB ",Internasional
Biden Respons Santai Ancaman Perang Putin,"Presiden Amerika Serikat Joe Bidenmerespons santai ancaman perang Presiden Rusia Vladimir Putin. Bidenmalah mengatakan dia tak terlalu memikirkan Putin.
""Saya tidak terlalu memikirkan Vladimir Putin,"" kata Bidenseperti dilansir dari AFP.
Bidenmengatakan hal ini saat bertemu Perdana Menteri Inggris Keir Starmer di Gedung Putih, Jumat (13/9) waktu setempat.
Dua sekutu dekat ini bertemu untuk membahasperlu tidaknya mencabut pembatasan penggunaan senjata yang dipasok Barat terhadap Ukraina.


Sebelumnya Putinmewanti-wanti AS dan sekutunya yang tergabung dalam Pakta Pertahanan Atlantik Utara (NATO).
Putinmeminta AS dan sekutunya untuk tidak mencari gara-gara menantang perang terkait izin penggunaan senjata jarak jauh oleh Ukrainayang bisa dipakai untuk menyerang Rusia.
""Ini artinya negara anggota NATO, Amerika Serikat dan negara-negara Eropa, mau berperang lawan Rusia,"" kata Putin ke awak media pada Kamis (12/9), dikutip dariCNN.

Dia lalu berujar, ""Dan jika memang demikian, maka, dengan mempertimbangkan perubahan esensi konflik, kami akan mengambil keputusan yang tepat dalam menanggapi ancaman yang akan ditujukan kepada kami.""
Putin juga menyinggung kemungkinan keterlibatan personel NATO secara langsung dalam perang.
Sejak invasi Rusia ke Ukraina, NATO mengerahkan penasihat dan instruktur militer ke negaraUkraina.



"," Sabtu, 14 Sep 2024 19:05 WIB ",Internasional
Junta Myanmar Minta Bantuan Internasional Hadapi Dampak Topan Yagi,"Kepala junta militerMyanmar membuat permintaan kepada dunia internasional yang jarang dilakukan sebelumnya. Permintaan itu terkait dengan dampak topan Yagi yang menerjang negara tersebut beberapa hari lalu.
Diberitakan AFP pada Sabtu (14/9), Kepala Junta Militer Myanmar, Min Aung Hlaing mengatakan permohonan tersebut melalui surat kabar lokal, Global New Light of Myanmar.

""Pejabat dari pemerintah perlu menghubungi negara-negara asing untuk menerima bantuan penyelamatan dan pemulihan yang akan diberikan untuk para korban,"" kata Min.
""Penting untuk mengelola tindakan penyelamatan, pemulihan, dan rehabilitasi secepat mungkin,"" katanya.
Permintaan ini datang setelah sebelumnya pemerintah militer Myanmar memblokir dan menggagalkan bantuan kemanusiaan dari luar negeri terkait bencana alam tersebut.
AFP menyebut pihak junta militer tahun lalu menangguhkan izin perjalanan kelompok bantuan yang berusaha menjangkau sekitar satu juta korban siklon Mocha yang menerjang dengan dahsyat di wilayah barat Myanmar.





Kala itu, tindakan tersebut bahkan membuat Perserikatan Bangsa-Bangsa mengeluarkan kecaman dan menyebut keputusan junta sebagai ""tidak masuk akal"".
Terkait permintaan junta terbaru, AFP menyebut sudah meminta tanggapan dari juru bicara PBB untuk Myanmar.
Topan Yagi yang menerjang Myanmar, Vietnam, Laos, dan Thailand menyebabkan banjir dan tanah longsor, serta menelan hampir 300 korban jiwa.
Sementara itu di Myanmar, lebih dari 235 ribu orang terpaksa meninggalkan rumah mereka akibat banjir tersebut dan menambah kesengsaraan rakyat setelah kudeta militer pada 2021.

AFP menyebut, penduduk di Taungoo yang berjarak satu jam di sisi selatan Naypyidaw harus mendayung rakit darurat akibat banjir menenggelamkan rumah mereka hingga setinggi atap.
Sekitar 300 orang berlindung di sebuah biara di dataran yang lebih tinggi di desa tersebut. Sementara itu, seorang biarawati Buddha juga berusaha menyelamatkan hewan-hewan dari banjir.
""Kami dikelilingi oleh air dan kami tidak memiliki cukup makanan untuk semua orang,"" kata seorang penduduk. ""Kami membutuhkan makanan, air, dan obat-obatan sebagai prioritas."""," Sabtu, 14 Sep 2024 18:25 WIB ",Internasional
FOTO: Kebakaran Hutan Membara di Bolivia,Bolivia menyatakan darurat nasional akibat kebakaran hutan parah.,"Sabtu, 14 Sep 2024 17:34 WIB",Internasional
FOTO: Ramai-ramai Warga Myanmar Mengungsi usai Dihantam Topan Yagi,"Topan super Yagi menghantam sejumlah wilayah di Vietnam hingga sebabkan banjir, warga terpaksa mengungsi ke tempat aman.","Sabtu, 14 Sep 2024 17:26 WIB",Internasional
"Bos Hamas Yahya Sinwar Kirim Surat ke Pemimpin Hizbullah, Apa Isinya?","Bos Hamas,Yahya Sinwar,akhirnya 'muncul' usai hampir setahun ada dalam persembunyian.
Pemimpin politik Hamasitu tak terlihat sejak perang pecah antara Israel danHamaspada Oktober 2023 lalu. Sinwar diduga berlindung di bawah tanah di Gaza.

Kabar Sinwar juga tak terdengar, setidaknya selama hampir setahun. Namun, pekan ini ia tampak rajin mengeluarkan pernyataan kepada publik.
Pada Selasa (10/9) lalu ia mengeluarkan pernyataan pertamanya semenjak serangan Israel. Pada saluran Telegram Hamas, Sinwar diklaim mengucapkan selamat kepada Presiden Aljazair Abdelmadjid Tebboune atas kemenangan dalam pemilihan presiden (pilpres).
Tepat keesokan harinya, Kantor Hamas mengatakan Sinwar menulis surat ucapan terima kasih kepada mereka yang menyampaikan belasungkawa atas kematian Ismail Haniyeh.
Sinwar juga diklaim mengirim surat kepada Pemimpin Hizbullah Hassan Nasrallah pada Jumat (13/9).
Kelompok militan Lebanon itu mengklaim Sinwar menegaskan komitmennya untuk tetap memerangi Israel. Sang pemimpin Hamas juga disebut mendukung eksistensi Poros Perlawanan untuk menghadapi Zionis.

""Ia (Sinwar) mencoba mengatakan bahwa saya di sini, saya hidup, saya memegang kendali penuh. Saya (Sinwar) terus mendapatkan informasi terkini dan menyadari segala hal yang terjadi di luar Gaza,"" ucap penulis dan analis dari Gaza, Muhammad Shehada, dikutip dari CNN, Sabtu (14/9).
""Ia ingin menunjukkan bahwa dirinya mampu beroperasi di berbagai bidang, yakni urusan domestik--medan perang di Gaza--dan urusan diplomatik--mediasi,"" tambahnya.
Shehada mencoba memetakan tiga tujuan utama surat-surat yang diduga ditulis Sinwar.

Pertama, surat tersebut ditujukan kepada Israel. Yahya Sinwar ingin mengatakan dirinya tetap bisa bekerja tanpa gangguan meski Israel terus memburunya.
Kedua, Shehada menyebut surat-surat Sinwar ditujukan kepada Hamas. Ini terutama bagi mereka yang masih ragu dalam gerakan membela Palestina.
Ketiga, ada kemungkinan surat tersebut menjadi pesan untuk mediator, seperti Qatar, Amerika Serikat (AS), dan Mesir. Shehada menyebut ini sebagai respons atas keraguan negara-negara tersebut, apakah Sinwar bisa menjalankan kepemimpinannya dari terowongan Gaza.
Yahya Sinwar diangkat menjadi pemimpin politik Hamas setelah Haniyeh dibunuh di ibu kota Iran, Teheran, pada Juli 2024 lalu. Dibanding para pendahulunya, ia dianggap lebih keras kepala dalam berurusan dengan Israel.






"," Sabtu, 14 Sep 2024 16:40 WIB ",Internasional
